spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,<$solving_time_feature1_2_7_10286
0,0,0,1,0,1,1,0,0,0,1,0,1,0,0.04
1,0,0,1,0,1,1,0,0,0,1,0,1,0,5.01
0,1,0,1,0,1,1,0,0,0,1,0,1,0,0.065
1,1,0,1,0,1,1,0,0,0,1,0,1,0,5.01
0,0,1,1,0,1,1,0,0,0,1,0,1,0,0.04
1,0,1,1,0,1,1,0,0,0,1,0,1,0,5.0
0,1,1,1,0,1,1,0,0,0,1,0,1,0,0.07
1,1,1,1,0,1,1,0,0,0,1,0,1,0,0.92
0,0,0,0,1,1,1,0,0,0,1,0,1,0,0.035
1,0,0,0,1,1,1,0,0,0,1,0,1,0,5.0
0,1,0,0,1,1,1,0,0,0,1,0,1,0,0.09
1,1,0,0,1,1,1,0,0,0,1,0,1,0,5.01
0,0,1,0,1,1,1,0,0,0,1,0,1,0,0.04
1,0,1,0,1,1,1,0,0,0,1,0,1,0,5.0
0,1,1,0,1,1,1,0,0,0,1,0,1,0,0.075
1,1,1,0,1,1,1,0,0,0,1,0,1,0,5.0
0,0,0,1,1,1,1,0,0,0,1,0,1,0,0.04
1,0,0,1,1,1,1,0,0,0,1,0,1,0,5.01
0,1,0,1,1,1,1,0,0,0,1,0,1,0,0.085
1,1,0,1,1,1,1,0,0,0,1,0,1,0,5.01
0,0,1,1,1,1,1,0,0,0,1,0,1,0,0.035
1,0,1,1,1,1,1,0,0,0,1,0,1,0,5.01
0,1,1,1,1,1,1,0,0,0,1,0,1,0,0.07
1,1,1,1,1,1,1,0,0,0,1,0,1,0,5.0
0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.01
1,0,0,0,0,0,0,1,0,0,1,0,1,0,5.0
0,1,0,0,0,0,0,1,0,0,1,0,1,0,0.06
1,1,0,0,0,0,0,1,0,0,1,0,1,0,5.01
0,0,1,0,0,0,0,1,0,0,1,0,1,0,0.01
1,0,1,0,0,0,0,1,0,0,1,0,1,0,5.01
0,1,1,0,0,0,0,1,0,0,1,0,1,0,0.015
1,1,1,0,0,0,0,1,0,0,1,0,1,0,5.005
0,0,0,1,0,0,0,1,0,0,1,0,1,0,0.02
1,0,0,1,0,0,0,1,0,0,1,0,1,0,5.025
0,1,0,1,0,0,0,1,0,0,1,0,1,0,0.03
1,1,0,1,0,0,0,1,0,0,1,0,1,0,5.025
0,0,1,1,0,0,0,1,0,0,1,0,1,0,0.02
1,0,1,1,0,0,0,1,0,0,1,0,1,0,5.025
0,1,1,1,0,0,0,1,0,0,1,0,1,0,0.02
1,1,1,1,0,0,0,1,0,0,1,0,1,0,5.025
0,0,0,0,1,0,0,1,0,0,1,0,1,0,0.15
1,0,0,0,1,0,0,1,0,0,1,0,1,0,5.01
0,1,0,0,1,0,0,1,0,0,1,0,1,0,0.05
1,1,0,0,1,0,0,1,0,0,1,0,1,0,5.015
0,0,1,0,1,0,0,1,0,0,1,0,1,0,0.145
1,0,1,0,1,0,0,1,0,0,1,0,1,0,5.01
0,1,1,0,1,0,0,1,0,0,1,0,1,0,0.055
1,1,1,0,1,0,0,1,0,0,1,0,1,0,5.015
0,0,0,1,1,0,0,1,0,0,1,0,1,0,0.155
1,0,0,1,1,0,0,1,0,0,1,0,1,0,5.01
0,1,0,1,1,0,0,1,0,0,1,0,1,0,0.05
1,1,0,1,1,0,0,1,0,0,1,0,1,0,5.02
0,0,1,1,1,0,0,1,0,0,1,0,1,0,0.15
1,0,1,1,1,0,0,1,0,0,1,0,1,0,5.015
0,1,1,1,1,0,0,1,0,0,1,0,1,0,0.055
1,1,1,1,1,0,0,1,0,0,1,0,1,0,5.015
0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.04
1,0,0,0,0,1,0,1,0,0,1,0,1,0,5.0
0,1,0,0,0,1,0,1,0,0,1,0,1,0,0.07
1,1,0,0,0,1,0,1,0,0,1,0,1,0,5.005
0,0,1,0,0,1,0,1,0,0,1,0,1,0,0.04
1,0,1,0,0,1,0,1,0,0,1,0,1,0,5.0
0,1,1,0,0,1,0,1,0,0,1,0,1,0,0.07
1,1,1,0,0,1,0,1,0,0,1,0,1,0,5.005
0,0,0,1,0,1,0,1,0,0,1,0,1,0,0.035
1,0,0,1,0,1,0,1,0,0,1,0,1,0,5.005
0,1,0,1,0,1,0,1,0,0,1,0,1,0,0.075
1,1,0,1,0,1,0,1,0,0,1,0,1,0,5.005
0,0,1,1,0,1,0,1,0,0,1,0,1,0,0.04
1,0,1,1,0,1,0,1,0,0,1,0,1,0,5.0
0,1,1,1,0,1,0,1,0,0,1,0,1,0,0.07
1,1,1,1,0,1,0,1,0,0,1,0,1,0,5.005
0,0,0,0,1,1,0,1,0,0,1,0,1,0,0.04
1,0,0,0,1,1,0,1,0,0,1,0,1,0,5.01
0,1,0,0,1,1,0,1,0,0,1,0,1,0,0.1
1,1,0,0,1,1,0,1,0,0,1,0,1,0,5.005
0,0,1,0,1,1,0,1,0,0,1,0,1,0,0.04
1,0,1,0,1,1,0,1,0,0,1,0,1,0,5.005
0,1,1,0,1,1,0,1,0,0,1,0,1,0,0.095
1,1,1,0,1,1,0,1,0,0,1,0,1,0,5.01
0,0,0,1,1,1,0,1,0,0,1,0,1,0,0.04
1,0,0,1,1,1,0,1,0,0,1,0,1,0,5.005
0,1,0,1,1,1,0,1,0,0,1,0,1,0,0.1
1,1,0,1,1,1,0,1,0,0,1,0,1,0,5.01
0,0,1,1,1,1,0,1,0,0,1,0,1,0,0.035
1,0,1,1,1,1,0,1,0,0,1,0,1,0,5.005
0,1,1,1,1,1,0,1,0,0,1,0,1,0,0.1
1,1,1,1,1,1,0,1,0,0,1,0,1,0,5.005
0,0,0,0,0,0,1,1,0,0,1,0,1,0,0.04
1,0,0,0,0,0,1,1,0,0,1,0,1,0,5.0
0,1,0,0,0,0,1,1,0,0,1,0,1,0,0.055
1,1,0,0,0,0,1,1,0,0,1,0,1,0,5.01
0,0,1,0,0,0,1,1,0,0,1,0,1,0,0.025
1,0,1,0,0,0,1,1,0,0,1,0,1,0,0.53
0,1,1,0,0,0,1,1,0,0,1,0,1,0,0.1
1,1,1,0,0,0,1,1,0,0,1,0,1,0,5.01
0,0,0,1,0,0,1,1,0,0,1,0,1,0,0.03
1,0,0,1,0,0,1,1,0,0,1,0,1,0,5.035
0,1,0,1,0,0,1,1,0,0,1,0,1,0,0.025
1,1,0,1,0,0,1,1,0,0,1,0,1,0,5.03
0,0,1,1,0,0,1,1,0,0,1,0,1,0,0.035
1,0,1,1,0,0,1,1,0,0,1,0,1,0,5.03
0,1,1,1,0,0,1,1,0,0,1,0,1,0,0.02
1,1,1,1,0,0,1,1,0,0,1,0,1,0,5.025
0,0,0,0,1,0,1,1,0,0,1,0,1,0,0.11
1,0,0,0,1,0,1,1,0,0,1,0,1,0,5.01
0,1,0,0,1,0,1,1,0,0,1,0,1,0,0.125
1,1,0,0,1,0,1,1,0,0,1,0,1,0,5.01
0,0,1,0,1,0,1,1,0,0,1,0,1,0,0.04
1,0,1,0,1,0,1,1,0,0,1,0,1,0,5.01
0,1,1,0,1,0,1,1,0,0,1,0,1,0,0.115
1,1,1,0,1,0,1,1,0,0,1,0,1,0,5.015
0,0,0,1,1,0,1,1,0,0,1,0,1,0,0.015
1,0,0,1,1,0,1,1,0,0,1,0,1,0,5.01
0,1,0,1,1,0,1,1,0,0,1,0,1,0,0.025
1,1,0,1,1,0,1,1,0,0,1,0,1,0,3.535
0,0,1,1,1,0,1,1,0,0,1,0,1,0,0.02
1,0,1,1,1,0,1,1,0,0,1,0,1,0,5.01
0,1,1,1,1,0,1,1,0,0,1,0,1,0,0.065
1,1,1,1,1,0,1,1,0,0,1,0,1,0,5.015
0,0,0,0,0,1,1,1,0,0,1,0,1,0,0.04
1,0,0,0,0,1,1,1,0,0,1,0,1,0,5.01
0,1,0,0,0,1,1,1,0,0,1,0,1,0,0.085
1,1,0,0,0,1,1,1,0,0,1,0,1,0,5.01
0,0,1,0,0,1,1,1,0,0,1,0,1,0,0.04
1,0,1,0,0,1,1,1,0,0,1,0,1,0,5.005
0,1,1,0,0,1,1,1,0,0,1,0,1,0,0.09
1,1,1,0,0,1,1,1,0,0,1,0,1,0,5.01
0,0,0,1,0,1,1,1,0,0,1,0,1,0,0.04
1,0,0,1,0,1,1,1,0,0,1,0,1,0,5.01
0,1,0,1,0,1,1,1,0,0,1,0,1,0,0.065
1,1,0,1,0,1,1,1,0,0,1,0,1,0,5.01
0,0,1,1,0,1,1,1,0,0,1,0,1,0,0.04
1,0,1,1,0,1,1,1,0,0,1,0,1,0,5.005
0,1,1,1,0,1,1,1,0,0,1,0,1,0,0.07
1,1,1,1,0,1,1,1,0,0,1,0,1,0,0.885
0,0,0,0,1,1,1,1,0,0,1,0,1,0,0.04
1,0,0,0,1,1,1,1,0,0,1,0,1,0,5.0
0,1,0,0,1,1,1,1,0,0,1,0,1,0,0.095
1,1,0,0,1,1,1,1,0,0,1,0,1,0,5.005
0,0,1,0,1,1,1,1,0,0,1,0,1,0,0.04
1,0,1,0,1,1,1,1,0,0,1,0,1,0,5.01
0,1,1,0,1,1,1,1,0,0,1,0,1,0,0.075
1,1,1,0,1,1,1,1,0,0,1,0,1,0,5.005
0,0,0,1,1,1,1,1,0,0,1,0,1,0,0.04
1,0,0,1,1,1,1,1,0,0,1,0,1,0,5.01
0,1,0,1,1,1,1,1,0,0,1,0,1,0,0.085
1,1,0,1,1,1,1,1,0,0,1,0,1,0,5.005
0,0,1,1,1,1,1,1,0,0,1,0,1,0,0.04
1,0,1,1,1,1,1,1,0,0,1,0,1,0,5.005
0,1,1,1,1,1,1,1,0,0,1,0,1,0,0.07
1,1,1,1,1,1,1,1,0,0,1,0,1,0,5.005
0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.01
1,0,0,0,0,0,0,0,1,0,1,0,1,0,5.0
0,1,0,0,0,0,0,0,1,0,1,0,1,0,0.06
1,1,0,0,0,0,0,0,1,0,1,0,1,0,5.005
0,0,1,0,0,0,0,0,1,0,1,0,1,0,0.01
1,0,1,0,0,0,0,0,1,0,1,0,1,0,5.01
0,1,1,0,0,0,0,0,1,0,1,0,1,0,0.015
1,1,1,0,0,0,0,0,1,0,1,0,1,0,4.98
0,0,0,1,0,0,0,0,1,0,1,0,1,0,0.02
1,0,0,1,0,0,0,0,1,0,1,0,1,0,5.025
0,1,0,1,0,0,0,0,1,0,1,0,1,0,0.025
1,1,0,1,0,0,0,0,1,0,1,0,1,0,5.025
0,0,1,1,0,0,0,0,1,0,1,0,1,0,0.02
1,0,1,1,0,0,0,0,1,0,1,0,1,0,5.03
0,1,1,1,0,0,0,0,1,0,1,0,1,0,0.025
1,1,1,1,0,0,0,0,1,0,1,0,1,0,5.025
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.14
1,0,0,0,1,0,0,0,1,0,1,0,1,0,5.01
0,1,0,0,1,0,0,0,1,0,1,0,1,0,0.05
1,1,0,0,1,0,0,0,1,0,1,0,1,0,5.015
0,0,1,0,1,0,0,0,1,0,1,0,1,0,0.14
1,0,1,0,1,0,0,0,1,0,1,0,1,0,5.01
0,1,1,0,1,0,0,0,1,0,1,0,1,0,0.055
1,1,1,0,1,0,0,0,1,0,1,0,1,0,5.015
0,0,0,1,1,0,0,0,1,0,1,0,1,0,0.155
1,0,0,1,1,0,0,0,1,0,1,0,1,0,5.015
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0.055
1,1,0,1,1,0,0,0,1,0,1,0,1,0,5.02
0,0,1,1,1,0,0,0,1,0,1,0,1,0,0.145
1,0,1,1,1,0,0,0,1,0,1,0,1,0,5.01
0,1,1,1,1,0,0,0,1,0,1,0,1,0,0.055
1,1,1,1,1,0,0,0,1,0,1,0,1,0,5.015
0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.035
1,0,0,0,0,1,0,0,1,0,1,0,1,0,5.0
0,1,0,0,0,1,0,0,1,0,1,0,1,0,0.065
1,1,0,0,0,1,0,0,1,0,1,0,1,0,5.0
0,0,1,0,0,1,0,0,1,0,1,0,1,0,0.04
1,0,1,0,0,1,0,0,1,0,1,0,1,0,5.0
0,1,1,0,0,1,0,0,1,0,1,0,1,0,0.07
1,1,1,0,0,1,0,0,1,0,1,0,1,0,5.0
0,0,0,1,0,1,0,0,1,0,1,0,1,0,0.04
1,0,0,1,0,1,0,0,1,0,1,0,1,0,5.0
0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.08
1,1,0,1,0,1,0,0,1,0,1,0,1,0,5.005
0,0,1,1,0,1,0,0,1,0,1,0,1,0,0.035
1,0,1,1,0,1,0,0,1,0,1,0,1,0,5.0
0,1,1,1,0,1,0,0,1,0,1,0,1,0,0.08
1,1,1,1,0,1,0,0,1,0,1,0,1,0,5.01
0,0,0,0,1,1,0,0,1,0,1,0,1,0,0.04
1,0,0,0,1,1,0,0,1,0,1,0,1,0,5.0
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0.1
1,1,0,0,1,1,0,0,1,0,1,0,1,0,5.01
0,0,1,0,1,1,0,0,1,0,1,0,1,0,0.04
1,0,1,0,1,1,0,0,1,0,1,0,1,0,5.01
0,1,1,0,1,1,0,0,1,0,1,0,1,0,0.1
1,1,1,0,1,1,0,0,1,0,1,0,1,0,5.005
0,0,0,1,1,1,0,0,1,0,1,0,1,0,0.04
1,0,0,1,1,1,0,0,1,0,1,0,1,0,5.005
0,1,0,1,1,1,0,0,1,0,1,0,1,0,0.105
1,1,0,1,1,1,0,0,1,0,1,0,1,0,5.01
0,0,1,1,1,1,0,0,1,0,1,0,1,0,0.04
1,0,1,1,1,1,0,0,1,0,1,0,1,0,5.005
0,1,1,1,1,1,0,0,1,0,1,0,1,0,0.105
1,1,1,1,1,1,0,0,1,0,1,0,1,0,5.005
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.035
1,0,0,0,0,0,1,0,1,0,1,0,1,0,5.0
0,1,0,0,0,0,1,0,1,0,1,0,1,0,0.055
1,1,0,0,0,0,1,0,1,0,1,0,1,0,5.01
0,0,1,0,0,0,1,0,1,0,1,0,1,0,0.03
1,0,1,0,0,0,1,0,1,0,1,0,1,0,0.525
0,1,1,0,0,0,1,0,1,0,1,0,1,0,0.09
1,1,1,0,0,0,1,0,1,0,1,0,1,0,5.01
0,0,0,1,0,0,1,0,1,0,1,0,1,0,0.03
1,0,0,1,0,0,1,0,1,0,1,0,1,0,5.035
0,1,0,1,0,0,1,0,1,0,1,0,1,0,0.03
1,1,0,1,0,0,1,0,1,0,1,0,1,0,5.03
0,0,1,1,0,0,1,0,1,0,1,0,1,0,0.04
1,0,1,1,0,0,1,0,1,0,1,0,1,0,5.03
0,1,1,1,0,0,1,0,1,0,1,0,1,0,0.02
1,1,1,1,0,0,1,0,1,0,1,0,1,0,5.03
0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.105
1,0,0,0,1,0,1,0,1,0,1,0,1,0,5.01
0,1,0,0,1,0,1,0,1,0,1,0,1,0,0.12
1,1,0,0,1,0,1,0,1,0,1,0,1,0,5.01
0,0,1,0,1,0,1,0,1,0,1,0,1,0,0.04
1,0,1,0,1,0,1,0,1,0,1,0,1,0,5.01
0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.11
1,1,1,0,1,0,1,0,1,0,1,0,1,0,5.01
0,0,0,1,1,0,1,0,1,0,1,0,1,0,0.02
1,0,0,1,1,0,1,0,1,0,1,0,1,0,5.01
0,1,0,1,1,0,1,0,1,0,1,0,1,0,0.025
1,1,0,1,1,0,1,0,1,0,1,0,1,0,3.475
0,0,1,1,1,0,1,0,1,0,1,0,1,0,0.02
1,0,1,1,1,0,1,0,1,0,1,0,1,0,5.015
0,1,1,1,1,0,1,0,1,0,1,0,1,0,0.065
1,1,1,1,1,0,1,0,1,0,1,0,1,0,5.015
0,0,0,0,0,1,1,0,1,0,1,0,1,0,0.035
1,0,0,0,0,1,1,0,1,0,1,0,1,0,5.005
0,1,0,0,0,1,1,0,1,0,1,0,1,0,0.085
1,1,0,0,0,1,1,0,1,0,1,0,1,0,5.01
0,0,1,0,0,1,1,0,1,0,1,0,1,0,0.04
1,0,1,0,0,1,1,0,1,0,1,0,1,0,5.005
0,1,1,0,0,1,1,0,1,0,1,0,1,0,0.085
1,1,1,0,0,1,1,0,1,0,1,0,1,0,5.01
0,0,0,1,0,1,1,0,1,0,1,0,1,0,0.03
1,0,0,1,0,1,1,0,1,0,1,0,1,0,5.015
0,1,0,1,0,1,1,0,1,0,1,0,1,0,0.065
1,1,0,1,0,1,1,0,1,0,1,0,1,0,5.01
0,0,1,1,0,1,1,0,1,0,1,0,1,0,0.04
1,0,1,1,0,1,1,0,1,0,1,0,1,0,5.005
0,1,1,1,0,1,1,0,1,0,1,0,1,0,0.07
1,1,1,1,0,1,1,0,1,0,1,0,1,0,0.88
0,0,0,0,1,1,1,0,1,0,1,0,1,0,0.035
1,0,0,0,1,1,1,0,1,0,1,0,1,0,5.005
0,1,0,0,1,1,1,0,1,0,1,0,1,0,0.095
1,1,0,0,1,1,1,0,1,0,1,0,1,0,5.01
0,0,1,0,1,1,1,0,1,0,1,0,1,0,0.03
1,0,1,0,1,1,1,0,1,0,1,0,1,0,5.0
0,1,1,0,1,1,1,0,1,0,1,0,1,0,0.075
1,1,1,0,1,1,1,0,1,0,1,0,1,0,5.0
0,0,0,1,1,1,1,0,1,0,1,0,1,0,0.04
1,0,0,1,1,1,1,0,1,0,1,0,1,0,5.01
0,1,0,1,1,1,1,0,1,0,1,0,1,0,0.075
1,1,0,1,1,1,1,0,1,0,1,0,1,0,5.0
0,0,1,1,1,1,1,0,1,0,1,0,1,0,0.04
1,0,1,1,1,1,1,0,1,0,1,0,1,0,5.005
0,1,1,1,1,1,1,0,1,0,1,0,1,0,0.07
1,1,1,1,1,1,1,0,1,0,1,0,1,0,5.0
0,0,0,0,0,0,0,1,1,0,1,0,1,0,0.01
1,0,0,0,0,0,0,1,1,0,1,0,1,0,5.0
0,1,0,0,0,0,0,1,1,0,1,0,1,0,0.06
1,1,0,0,0,0,0,1,1,0,1,0,1,0,5.005
0,0,1,0,0,0,0,1,1,0,1,0,1,0,0.01
1,0,1,0,0,0,0,1,1,0,1,0,1,0,5.01
0,1,1,0,0,0,0,1,1,0,1,0,1,0,0.015
1,1,1,0,0,0,0,1,1,0,1,0,1,0,4.955
0,0,0,1,0,0,0,1,1,0,1,0,1,0,0.02
1,0,0,1,0,0,0,1,1,0,1,0,1,0,5.025
0,1,0,1,0,0,0,1,1,0,1,0,1,0,0.025
1,1,0,1,0,0,0,1,1,0,1,0,1,0,5.025
0,0,1,1,0,0,0,1,1,0,1,0,1,0,0.02
1,0,1,1,0,0,0,1,1,0,1,0,1,0,5.03
0,1,1,1,0,0,0,1,1,0,1,0,1,0,0.025
1,1,1,1,0,0,0,1,1,0,1,0,1,0,5.03
0,0,0,0,1,0,0,1,1,0,1,0,1,0,0.15
1,0,0,0,1,0,0,1,1,0,1,0,1,0,5.01
0,1,0,0,1,0,0,1,1,0,1,0,1,0,0.06
1,1,0,0,1,0,0,1,1,0,1,0,1,0,5.015
0,0,1,0,1,0,0,1,1,0,1,0,1,0,0.145
1,0,1,0,1,0,0,1,1,0,1,0,1,0,5.01
0,1,1,0,1,0,0,1,1,0,1,0,1,0,0.05
1,1,1,0,1,0,0,1,1,0,1,0,1,0,5.02
0,0,0,1,1,0,0,1,1,0,1,0,1,0,0.15
1,0,0,1,1,0,0,1,1,0,1,0,1,0,5.015
0,1,0,1,1,0,0,1,1,0,1,0,1,0,0.05
1,1,0,1,1,0,0,1,1,0,1,0,1,0,5.015
0,0,1,1,1,0,0,1,1,0,1,0,1,0,0.145
1,0,1,1,1,0,0,1,1,0,1,0,1,0,5.01
0,1,1,1,1,0,0,1,1,0,1,0,1,0,0.05
1,1,1,1,1,0,0,1,1,0,1,0,1,0,5.02
0,0,0,0,0,1,0,1,1,0,1,0,1,0,0.04
1,0,0,0,0,1,0,1,1,0,1,0,1,0,5.0
0,1,0,0,0,1,0,1,1,0,1,0,1,0,0.07
1,1,0,0,0,1,0,1,1,0,1,0,1,0,5.0
0,0,1,0,0,1,0,1,1,0,1,0,1,0,0.04
1,0,1,0,0,1,0,1,1,0,1,0,1,0,5.0
0,1,1,0,0,1,0,1,1,0,1,0,1,0,0.07
1,1,1,0,0,1,0,1,1,0,1,0,1,0,5.0
0,0,0,1,0,1,0,1,1,0,1,0,1,0,0.035
1,0,0,1,0,1,0,1,1,0,1,0,1,0,5.0
0,1,0,1,0,1,0,1,1,0,1,0,1,0,0.08
1,1,0,1,0,1,0,1,1,0,1,0,1,0,5.01
0,0,1,1,0,1,0,1,1,0,1,0,1,0,0.035
1,0,1,1,0,1,0,1,1,0,1,0,1,0,5.005
0,1,1,1,0,1,0,1,1,0,1,0,1,0,0.075
1,1,1,1,0,1,0,1,1,0,1,0,1,0,5.005
0,0,0,0,1,1,0,1,1,0,1,0,1,0,0.04
1,0,0,0,1,1,0,1,1,0,1,0,1,0,5.0
0,1,0,0,1,1,0,1,1,0,1,0,1,0,0.095
1,1,0,0,1,1,0,1,1,0,1,0,1,0,5.0
0,0,1,0,1,1,0,1,1,0,1,0,1,0,0.04
1,0,1,0,1,1,0,1,1,0,1,0,1,0,5.01
0,1,1,0,1,1,0,1,1,0,1,0,1,0,0.105
1,1,1,0,1,1,0,1,1,0,1,0,1,0,5.005
0,0,0,1,1,1,0,1,1,0,1,0,1,0,0.035
1,0,0,1,1,1,0,1,1,0,1,0,1,0,5.005
0,1,0,1,1,1,0,1,1,0,1,0,1,0,0.1
1,1,0,1,1,1,0,1,1,0,1,0,1,0,5.005
0,0,1,1,1,1,0,1,1,0,1,0,1,0,0.04
1,0,1,1,1,1,0,1,1,0,1,0,1,0,5.005
0,1,1,1,1,1,0,1,1,0,1,0,1,0,0.105
1,1,1,1,1,1,0,1,1,0,1,0,1,0,5.005
0,0,0,0,0,0,1,1,1,0,1,0,1,0,0.04
1,0,0,0,0,0,1,1,1,0,1,0,1,0,5.0
0,1,0,0,0,0,1,1,1,0,1,0,1,0,0.06
1,1,0,0,0,0,1,1,1,0,1,0,1,0,5.01
0,0,1,0,0,0,1,1,1,0,1,0,1,0,0.03
1,0,1,0,0,0,1,1,1,0,1,0,1,0,0.525
0,1,1,0,0,0,1,1,1,0,1,0,1,0,0.095
1,1,1,0,0,0,1,1,1,0,1,0,1,0,5.01
0,0,0,1,0,0,1,1,1,0,1,0,1,0,0.03
1,0,0,1,0,0,1,1,1,0,1,0,1,0,5.035
0,1,0,1,0,0,1,1,1,0,1,0,1,0,0.03
1,1,0,1,0,0,1,1,1,0,1,0,1,0,5.03
0,0,1,1,0,0,1,1,1,0,1,0,1,0,0.04
1,0,1,1,0,0,1,1,1,0,1,0,1,0,5.03
0,1,1,1,0,0,1,1,1,0,1,0,1,0,0.02
1,1,1,1,0,0,1,1,1,0,1,0,1,0,5.03
0,0,0,0,1,0,1,1,1,0,1,0,1,0,0.11
1,0,0,0,1,0,1,1,1,0,1,0,1,0,5.005
0,1,0,0,1,0,1,1,1,0,1,0,1,0,0.12
1,1,0,0,1,0,1,1,1,0,1,0,1,0,5.01
0,0,1,0,1,0,1,1,1,0,1,0,1,0,0.035
1,0,1,0,1,0,1,1,1,0,1,0,1,0,5.01
0,1,1,0,1,0,1,1,1,0,1,0,1,0,0.115
1,1,1,0,1,0,1,1,1,0,1,0,1,0,5.01
0,0,0,1,1,0,1,1,1,0,1,0,1,0,0.02
1,0,0,1,1,0,1,1,1,0,1,0,1,0,5.01
0,1,0,1,1,0,1,1,1,0,1,0,1,0,0.03
1,1,0,1,1,0,1,1,1,0,1,0,1,0,3.515
0,0,1,1,1,0,1,1,1,0,1,0,1,0,0.02
1,0,1,1,1,0,1,1,1,0,1,0,1,0,5.01
0,1,1,1,1,0,1,1,1,0,1,0,1,0,0.065
1,1,1,1,1,0,1,1,1,0,1,0,1,0,5.015
0,0,0,0,0,1,1,1,1,0,1,0,1,0,0.04
1,0,0,0,0,1,1,1,1,0,1,0,1,0,5.005
0,1,0,0,0,1,1,1,1,0,1,0,1,0,0.07
1,1,0,0,0,1,1,1,1,0,1,0,1,0,5.01
0,0,1,0,0,1,1,1,1,0,1,0,1,0,0.035
1,0,1,0,0,1,1,1,1,0,1,0,1,0,5.01
0,1,1,0,0,1,1,1,1,0,1,0,1,0,0.085
1,1,1,0,0,1,1,1,1,0,1,0,1,0,5.0
0,0,0,1,0,1,1,1,1,0,1,0,1,0,0.04
1,0,0,1,0,1,1,1,1,0,1,0,1,0,5.01
0,1,0,1,0,1,1,1,1,0,1,0,1,0,0.065
1,1,0,1,0,1,1,1,1,0,1,0,1,0,5.01
0,0,1,1,0,1,1,1,1,0,1,0,1,0,0.04
1,0,1,1,0,1,1,1,1,0,1,0,1,0,5.01
0,1,1,1,0,1,1,1,1,0,1,0,1,0,0.07
1,1,1,1,0,1,1,1,1,0,1,0,1,0,0.905
0,0,0,0,1,1,1,1,1,0,1,0,1,0,0.04
1,0,0,0,1,1,1,1,1,0,1,0,1,0,5.005
0,1,0,0,1,1,1,1,1,0,1,0,1,0,0.1
1,1,0,0,1,1,1,1,1,0,1,0,1,0,5.01
0,0,1,0,1,1,1,1,1,0,1,0,1,0,0.04
1,0,1,0,1,1,1,1,1,0,1,0,1,0,5.0
0,1,1,0,1,1,1,1,1,0,1,0,1,0,0.08
1,1,1,0,1,1,1,1,1,0,1,0,1,0,5.005
0,0,0,1,1,1,1,1,1,0,1,0,1,0,0.03
1,0,0,1,1,1,1,1,1,0,1,0,1,0,5.01
0,1,0,1,1,1,1,1,1,0,1,0,1,0,0.085
1,1,0,1,1,1,1,1,1,0,1,0,1,0,5.01
0,0,1,1,1,1,1,1,1,0,1,0,1,0,0.04
1,0,1,1,1,1,1,1,1,0,1,0,1,0,5.0
0,1,1,1,1,1,1,1,1,0,1,0,1,0,0.065
1,1,1,1,1,1,1,1,1,0,1,0,1,0,5.005
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.01
1,0,0,0,0,0,0,0,0,1,1,0,1,0,5.0
0,1,0,0,0,0,0,0,0,1,1,0,1,0,0.055
1,1,0,0,0,0,0,0,0,1,1,0,1,0,5.01
0,0,1,0,0,0,0,0,0,1,1,0,1,0,0.01
1,0,1,0,0,0,0,0,0,1,1,0,1,0,5.01
0,1,1,0,0,0,0,0,0,1,1,0,1,0,0.015
1,1,1,0,0,0,0,0,0,1,1,0,1,0,4.965
0,0,0,1,0,0,0,0,0,1,1,0,1,0,0.02
1,0,0,1,0,0,0,0,0,1,1,0,1,0,5.03
0,1,0,1,0,0,0,0,0,1,1,0,1,0,0.025
1,1,0,1,0,0,0,0,0,1,1,0,1,0,5.03
0,0,1,1,0,0,0,0,0,1,1,0,1,0,0.02
1,0,1,1,0,0,0,0,0,1,1,0,1,0,5.03
0,1,1,1,0,0,0,0,0,1,1,0,1,0,0.02
1,1,1,1,0,0,0,0,0,1,1,0,1,0,5.03
0,0,0,0,1,0,0,0,0,1,1,0,1,0,0.155
1,0,0,0,1,0,0,0,0,1,1,0,1,0,5.01
0,1,0,0,1,0,0,0,0,1,1,0,1,0,0.05
1,1,0,0,1,0,0,0,0,1,1,0,1,0,5.015
0,0,1,0,1,0,0,0,0,1,1,0,1,0,0.155
1,0,1,0,1,0,0,0,0,1,1,0,1,0,5.01
0,1,1,0,1,0,0,0,0,1,1,0,1,0,0.05
